type_id,subject_id,legislator_type_id,session,theme_name,vote_date,legislator_desc
ELC,P0,00,16,第16任總統副總統選舉,2024-01-13,
ELC,P0,00,15,第15任總統副總統選舉,2020-01-11,
ELC,P0,00,14,第14任總統副總統選舉,2016-01-16,
ELC,P0,00,13,第13任總統副總統選舉,2012-01-14,
ELC,P0,00,12,第12任總統副總統選舉,2008-03-22,
ELC,P0,00,11,第11任總統副總統選舉,2004-03-20,
ELC,P0,00,10,第10任總統副總統選舉,2000-03-18,
ELC,P0,00,9,第09任總統副總統選舉,1996-03-23,
ELC,L0,L1,11,第11屆立法委員選舉,2024-01-13,區域
ELC,L0,L2,11,第11屆立法委員選舉,2024-01-13,平地原住民
ELC,L0,L3,11,第11屆立法委員選舉,2024-01-13,山地原住民
ELC,L0,L4,11,第11屆立法委員選舉,2024-01-13,不分區政黨
ELC,L0,L1,10,第10屆立法委員選舉,2020-01-11,區域
ELC,L0,L2,10,第10屆立法委員選舉,2020-01-11,平地原住民
ELC,L0,L3,10,第10屆立法委員選舉,2020-01-11,山地原住民
ELC,L0,L4,10,第10屆立法委員選舉,2020-01-11,不分區政黨
ELC,L0,L1,9,第09屆立法委員選舉,2016-01-16,區域
ELC,L0,L2,9,第09屆立法委員選舉,2016-01-16,平地原住民
ELC,L0,L3,9,第09屆立法委員選舉,2016-01-16,山地原住民
ELC,L0,L4,9,第09屆立法委員選舉,2016-01-16,不分區政黨
ELC,L0,L1,8,第08屆立法委員選舉,2012-01-14,區域
ELC,L0,L2,8,第08屆立法委員選舉,2012-01-14,平地原住民
ELC,L0,L3,8,第08屆立法委員選舉,2012-01-14,山地原住民
ELC,L0,L4,8,第08屆立法委員選舉,2012-01-14,不分區政黨
ELC,L0,L1,7,第07屆立法委員選舉,2008-01-12,區域
ELC,L0,L2,7,第07屆立法委員選舉,2008-01-12,平地原住民
ELC,L0,L3,7,第07屆立法委員選舉,2008-01-12,山地原住民
ELC,L0,L4,7,第07屆立法委員選舉,2008-01-12,不分區政黨
ELC,L0,L1,6,第06屆立法委員選舉,2004-12-11,區域
ELC,L0,L2,6,第06屆立法委員選舉,2004-12-11,平地原住民
ELC,L0,L3,6,第06屆立法委員選舉,2004-12-11,山地原住民
ELC,L0,L1,5,第05屆立法委員選舉,2001-12-01,區域
ELC,L0,L2,5,第05屆立法委員選舉,2001-12-01,平地原住民
ELC,L0,L3,5,第05屆立法委員選舉,2001-12-01,山地原住民
ELC,L0,L1,4,第04屆立法委員選舉,1998-12-05,區域
ELC,L0,L2,4,第04屆立法委員選舉,1998-12-05,平地原住民
ELC,L0,L3,4,第04屆立法委員選舉,1998-12-05,山地原住民
ELC,L0,L1,3,第03屆立法委員選舉,1995-12-02,區域
ELC,L0,L2,3,第03屆立法委員選舉,1995-12-02,平地原住民
ELC,L0,L3,3,第03屆立法委員選舉,1995-12-02,山地原住民
ELC,C1,00,111,111年直轄市長選舉,2022-11-26,
ELC,C1,00,107,107年直轄市長選舉,2018-11-24,
ELC,C1,00,103,103年直轄市長選舉,2014-11-29,
ELC,C1,00,99,99年直轄市長選舉,2010-11-27,
ELC,C1,00,95,95年直轄市長選舉,2006-12-09,
ELC,C1,00,91,91年直轄市長選舉,2002-12-07,
ELC,C1,00,87,87年直轄市長選舉,1998-12-05,
ELC,C1,00,83,83年直轄市長選舉,1994-12-03,
ELC,C2,00,111,111年嘉義市長重行選舉,2022-12-18,
